condition,mean_beta,popularity_strength,exploration,mu_content,mu_social,mean_epsilon,mean_susceptibility,homophily_strength,rewiring_fraction,rewire_interval,dynamic_stubbornness,consolidation_strength,polarization_mean,polarization_std,ever_flip_mean,persistent_flip_mean,crossing_mean,final_variance_mean,final_extremity_mean,edge_distance_mean,same_side_edge_mean,clustering_mean
search_011,1.0,1.5,0.02,0.45,0.15,0.55,0.25,0.5,0.04,10,False,0.0,0.4755130279045225,0.01339199296531443,0.0175,0.0175,0.035,0.45421064239329145,0.6711023503306311,0.328180574037794,0.7841666666666667,0.19623277417027407
search_012,4.0,0.5,0.1,0.1,0.35,0.95,0.45,3.0,0.04,40,True,0.5,0.24546223433085054,0.028033078920582932,0.25375000000000003,0.235,0.27,0.2271886261284915,0.45676843624052865,0.1601261495710862,0.8785800200221235,0.40825595238095236
search_013,8.0,0.0,0.02,0.45,0.15,0.3,0.25,0.5,0.04,10,True,0.5,0.6707332598837149,0.014212272306848031,0.0,0.0,0.0,0.6419110007055514,0.7980375447412726,0.35152480486076026,0.8079166666666666,0.19614314851814843
search_014,1.0,0.5,0.35,0.25,0.35,0.55,0.25,6.0,0.04,20,True,0.3,0.5787585102923135,0.014826137420068887,0.02375,0.0225,0.025,0.5565661711972627,0.7403212830877979,0.32840227087985113,0.8003476390556222,0.28200243506493483
search_015,4.0,0.5,0.1,0.45,0.15,0.55,0.25,0.5,0.01,20,True,0.3,0.5752393440937513,0.01236595846522287,0.00125,0.00125,0.00125,0.5519883222574856,0.7403848155814928,0.6215426155444457,0.5991666666666666,0.41585218253968254
search_016,1.0,1.5,0.35,0.45,0.05,0.95,0.45,6.0,0.01,10,True,0.5,0.36401996630624045,0.007820151014891143,0.19375,0.185,0.3025,0.33918975256903433,0.6120570348948995,0.41798166761317923,0.705,0.3699845779220778
search_017,8.0,0.5,0.02,0.45,0.05,0.55,0.65,0.5,0.04,10,True,0.3,0.5414984573374868,0.004217052035510815,0.0,0.0,0.0,0.5209106257904462,0.7203644744693428,0.29493656439533233,0.8204166666666667,0.1935041208791208
search_018,8.0,0.0,0.1,0.45,0.05,0.3,0.65,0.5,0.1,40,False,0.0,0.5619619569351728,0.006979268399830761,0.0,0.0,0.0,0.5365541714831485,0.7297072322102618,0.4892571285852281,0.6904166666666667,0.27406177849927826
search_019,1.0,0.0,0.02,0.25,0.15,0.55,0.25,3.0,0.01,20,True,0.3,0.592316585174861,0.01259356262687213,0.01375,0.0125,0.015,0.5674119600956117,0.7485379584198064,0.5893787385723122,0.6320833333333333,0.41242162698412693
search_020,1.0,1.5,0.02,0.25,0.05,0.95,0.25,3.0,0.04,20,False,0.0,0.4373490879747421,0.01684434685682771,0.10125,0.09875,0.115,0.4090181459096614,0.6331328418595196,0.3474957989547274,0.7826343131109099,0.2800590728715727
search_021,1.0,0.0,0.02,0.45,0.15,0.95,0.25,3.0,0.04,10,True,0.5,0.43244149705152,0.020441180905882494,0.0925,0.06625,0.2425,0.4081439219097233,0.6155780195676265,0.15235681999085177,0.9510510314390084,0.22422132034632017
search_022,1.0,0.0,0.1,0.25,0.35,0.55,0.45,6.0,0.01,10,True,0.5,0.5243543131584617,0.00805526307537627,0.02875,0.02625,0.04125,0.5079715688768648,0.7102895075179796,0.4503221981194866,0.69875,0.36319246031746016
search_023,8.0,0.5,0.1,0.1,0.05,0.3,0.65,3.0,0.1,20,True,0.3,0.683646056940503,0.013039770437701702,0.0,0.0,0.0,0.6537280833053639,0.8057504957001149,0.057377084225607194,0.99875,0.19620030663780655
search_024,4.0,0.0,0.35,0.45,0.35,0.55,0.65,0.5,0.04,10,True,0.5,0.48711319099663813,0.014905715258967188,0.01625,0.01375,0.01875,0.47135237324241375,0.6849633232242509,0.2770841575034169,0.8170833333333334,0.20956746031746024
search_025,8.0,0.5,0.02,0.45,0.05,0.95,0.45,0.5,0.04,20,True,0.3,0.5367398592659075,0.011879576879349488,0.0,0.0,0.0,0.5082497618357475,0.7072382681495857,0.47811040187297743,0.6858333333333333,0.2801387085137083
search_026,4.0,1.5,0.02,0.1,0.05,0.3,0.45,6.0,0.04,40,True,0.3,0.6263126205696637,0.012730569566968716,0.0,0.0,0.0,0.5926236325698165,0.7645104511299874,0.5838062865854723,0.6466666666666666,0.37935119047619037
search_027,8.0,0.5,0.1,0.1,0.35,0.55,0.65,0.5,0.04,40,True,0.3,0.5857855518345617,0.044924927499359286,0.053750000000000006,0.053750000000000006,0.053750000000000006,0.5606350381224081,0.7417555767209986,0.5096200718221793,0.6741666666666667,0.3858571428571428
search_028,1.0,1.5,0.1,0.25,0.05,0.55,0.45,0.5,0.01,40,True,0.3,0.49793483349388545,0.011618626570381206,0.01,0.01,0.0125,0.47682183662134064,0.6880496995063292,0.604009693930752,0.5816666666666667,0.449561507936508
search_029,4.0,0.5,0.02,0.1,0.35,0.55,0.65,3.0,0.1,10,True,0.5,0.5968877598434358,0.006645255234003199,0.0325,0.03,0.035,0.5837731057019021,0.764439184371935,0.01843460491256963,0.9975,0.13113774420024416
search_030,8.0,1.5,0.35,0.25,0.35,0.3,0.65,6.0,0.04,10,True,0.3,0.5225972578873311,0.015219874601450396,0.0025,0.0025,0.0025,0.5059866126085224,0.709183675839524,0.06843638268763877,0.9691666666666667,0.22840806415806403
search_031,4.0,0.5,0.02,0.25,0.05,0.3,0.65,6.0,0.01,40,True,0.5,0.5857092453419517,0.010743099264642836,0.0,0.0,0.0,0.5592060835925207,0.744614072175852,0.647877766915317,0.5866666666666667,0.4470664682539683
search_032,8.0,0.5,0.1,0.45,0.05,0.3,0.45,0.5,0.01,20,True,0.5,0.6137420104856288,0.01254984118503143,0.0,0.0,0.0,0.5847045838284929,0.7616342737163272,0.6548352445545769,0.5958333333333333,0.40993551587301585
search_033,4.0,1.5,0.1,0.45,0.35,0.95,0.25,0.5,0.04,20,True,0.3,0.3790250124088703,0.015855417376284285,0.135,0.13,0.15875,0.3503613071913194,0.6052141923681194,0.295313192575344,0.797406462585034,0.2923287615162613
search_034,1.0,1.5,0.02,0.25,0.15,0.3,0.45,3.0,0.04,10,True,0.3,0.56041204228538,0.024504283267027836,0.00125,0.00125,0.00125,0.5342211941124289,0.7266733517934968,0.1223770398007179,0.9541666666666666,0.20576343795093788
search_035,8.0,0.5,0.35,0.45,0.05,0.3,0.65,0.5,0.01,10,True,0.3,0.5642853172775096,0.00966672621847014,0.0,0.0,0.0,0.5391109904588647,0.7311846104991833,0.5810111497108087,0.6266666666666667,0.3635198412698411
search_036,8.0,1.5,0.1,0.25,0.05,0.3,0.45,3.0,0.1,40,True,0.3,0.5660058191673863,0.009158665320445429,0.0,0.0,0.0,0.5376015684711332,0.7281928845690733,0.39629891155464086,0.7616666666666667,0.2709165556665555
search_037,1.0,0.5,0.1,0.1,0.15,0.95,0.65,3.0,0.01,10,False,0.0,0.25772178471117174,0.027073336106043566,0.19875,0.17375000000000002,0.28625,0.24212779558438643,0.45966968911838896,0.20806820181286506,0.8613541293629369,0.38231746031746017
search_038,1.0,1.5,0.1,0.25,0.35,0.3,0.65,0.5,0.1,10,True,0.5,0.5168327441083524,0.017230325994395848,0.0075,0.0075,0.01,0.49897530421274683,0.7036322174538511,0.08163685113996157,0.9604166666666667,0.15702302558552553
search_039,4.0,0.0,0.02,0.45,0.15,0.55,0.45,0.5,0.04,20,False,0.0,0.5090293217414863,0.004409997436256093,0.00375,0.00375,0.00375,0.49024004319250336,0.6987200681491101,0.4479224083805198,0.6979166666666666,0.27787529831279817
