condition,run,seed,mean_beta,popularity_strength,exploration,mu_content,mu_social,mean_epsilon,mean_susceptibility,homophily_strength,rewiring_fraction,rewire_interval,consolidation_strength,dynamic_stubbornness,initial_variance,final_variance,variance_change,initial_pairwise_distance,final_pairwise_distance,pairwise_distance_change,final_extremity,polarization_score,ever_flip_fraction,persistent_flip_fraction,mean_crossings,maximum_crossings,mean_edge_distance,same_side_edge_fraction,final_clustering,mean_beta_level,popularity_strength_level,exploration_level,mu_content_level,mu_social_level,mean_epsilon_level,mean_susceptibility_level,homophily_strength_level,rewiring_fraction_level,rewire_interval_level,consolidation_strength_level
search_002,4,17871,4.0,0.0,0.35,0.1,0.15,0.95,0.25,3.0,0.04,40,0.5,True,0.38745078684412804,0.4832527914965994,0.09580200465247135,0.6933205503850062,0.7655838596049745,0.07226330921996837,0.6751027122346142,0.5168477400623623,0.11,0.11,0.11,1,0.3703931168250616,0.7766666666666666,0.3804920634920635,moderate,none,high,weak,moderate,broad,resistant,moderate,moderate,infrequent,strong
search_002,5,18871,4.0,0.0,0.35,0.1,0.15,0.95,0.25,3.0,0.04,40,0.5,True,0.38745078684412804,0.46771893908256673,0.0802681522384387,0.6933205503850062,0.7552154230060324,0.06189487262102622,0.6624765395968004,0.5003125000831702,0.07,0.07,0.07,1,0.4363343005553501,0.72,0.3743650793650792,moderate,none,high,weak,moderate,broad,resistant,moderate,moderate,infrequent,strong
search_002,6,19871,4.0,0.0,0.35,0.1,0.15,0.95,0.25,3.0,0.04,40,0.5,True,0.38745078684412804,0.4842744540830307,0.09682366723890268,0.6933205503850062,0.7788202741012239,0.08549972371621772,0.6653784093869786,0.518210195179803,0.04,0.04,0.04,1,0.4632476546553482,0.6966666666666667,0.3757777777777776,moderate,none,high,weak,moderate,broad,resistant,moderate,moderate,infrequent,strong
search_002,7,20871,4.0,0.0,0.35,0.1,0.15,0.95,0.25,3.0,0.04,40,0.5,True,0.38745078684412804,0.45220057195611246,0.06474978511198443,0.6933205503850062,0.748455441822429,0.055134891437422784,0.6529145421679539,0.4886774421306048,0.12,0.12,0.12,1,0.3427011146619622,0.79,0.388769841269841,moderate,none,high,weak,moderate,broad,resistant,moderate,moderate,infrequent,strong
search_003,0,13872,1.0,0.5,0.35,0.25,0.05,0.3,0.65,0.5,0.1,10,0.0,False,0.38745078684412804,0.5152687874950904,0.12781800065096238,0.6933205503850062,0.7605594288557227,0.06723887847071652,0.7125710829702233,0.5419526558829368,0.0,0.0,0.0,0,0.11860117157061145,0.9566666666666667,0.1368886113886113,weak,moderate,high,moderate,weak,narrow,responsive,weak,rapid,frequent,none
search_003,1,14872,1.0,0.5,0.35,0.25,0.05,0.3,0.65,0.5,0.1,10,0.0,False,0.38745078684412804,0.5116354270772839,0.1241846402331559,0.6933205503850062,0.7538841832161932,0.06056363283118704,0.7124814439914913,0.5371284914602193,0.0,0.0,0.0,0,0.1223754273357405,0.9533333333333334,0.15690259740259738,weak,moderate,high,moderate,weak,narrow,responsive,weak,rapid,frequent,none
search_003,2,15872,1.0,0.5,0.35,0.25,0.05,0.3,0.65,0.5,0.1,10,0.0,False,0.38745078684412804,0.5165507532743622,0.12909996643023414,0.6933205503850062,0.7571364590471337,0.0638159086621275,0.715976536270569,0.5420919394327303,0.0,0.0,0.0,0,0.10183196265970533,0.97,0.14409018759018752,weak,moderate,high,moderate,weak,narrow,responsive,weak,rapid,frequent,none
search_003,3,16872,1.0,0.5,0.35,0.25,0.05,0.3,0.65,0.5,0.1,10,0.0,False,0.38745078684412804,0.5231113898177998,0.13566060297367177,0.6933205503850062,0.7660623973442974,0.0727418469592912,0.7177962663590265,0.5498767286117817,0.0,0.0,0.0,0,0.11165137810009244,0.96,0.18467027417027412,weak,moderate,high,moderate,weak,narrow,responsive,weak,rapid,frequent,none
search_003,4,17872,1.0,0.5,0.35,0.25,0.05,0.3,0.65,0.5,0.1,10,0.0,False,0.38745078684412804,0.492195444591599,0.10474465774747094,0.6933205503850062,0.737973011058992,0.04465246067398587,0.6985764881282394,0.515530594399013,0.0,0.0,0.0,0,0.10950654713913283,0.9533333333333334,0.1710165945165944,weak,moderate,high,moderate,weak,narrow,responsive,weak,rapid,frequent,none
search_003,5,18872,1.0,0.5,0.35,0.25,0.05,0.3,0.65,0.5,0.1,10,0.0,False,0.38745078684412804,0.4990178166565827,0.11156702981245464,0.6933205503850062,0.7444588225786887,0.0511382721936825,0.7033838593892616,0.5236403197817836,0.0,0.0,0.0,0,0.12032549659541826,0.95,0.15502525252525245,weak,moderate,high,moderate,weak,narrow,responsive,weak,rapid,frequent,none
search_003,6,19872,1.0,0.5,0.35,0.25,0.05,0.3,0.65,0.5,0.1,10,0.0,False,0.38745078684412804,0.5137362528545037,0.1262854660103757,0.6933205503850062,0.7574884720516732,0.06416792166666707,0.7129428236389037,0.5400459701384387,0.0,0.0,0.0,0,0.1100014619756424,0.96,0.18626878676878672,weak,moderate,high,moderate,weak,narrow,responsive,weak,rapid,frequent,none
